Index,Section,Distance (μm),Length (μm),Radius_prox (μm),Radius_mid (μm),Radius_dist (μm),Mean_radius (μm),Diameter_prox (μm),Diameter_mid (μm),Diameter_dist (μm)
1,_pysec.CA1[0].apic[10],202.49,22.17,0.78,0.82,0.79,0.8,1.56,1.64,1.59
2,_pysec.CA1[0].apic[125],250.5,22.89,0.76,0.75,0.7,0.74,1.51,1.5,1.39
3,_pysec.CA1[0].apic[127],272.62,22.12,0.68,0.65,0.73,0.69,1.36,1.31,1.46
4,_pysec.CA1[0].apic[128],279.34,6.72,0.42,0.39,0.5,0.44,0.84,0.78,1.01
5,_pysec.CA1[0].apic[129],284.26,4.92,0.29,0.33,0.42,0.35,0.59,0.67,0.85
6,_pysec.CA1[0].apic[152],226.15,22.94,0.57,0.55,0.59,0.57,1.13,1.09,1.19
7,_pysec.CA1[0].apic[153],243.48,17.33,0.43,0.49,0.56,0.5,0.86,0.98,1.13
8,_pysec.CA1[0].apic[157],280.58,37.11,0.2,0.27,0.22,0.23,0.4,0.53,0.45
9,_pysec.CA1[0].apic[43],220.03,8.04,0.21,0.23,0.36,0.27,0.42,0.46,0.72
10,_pysec.CA1[0].apic[53],286.46,77.0,0.26,0.26,0.21,0.24,0.51,0.51,0.43
