1709.3749870522315,1031.7971425806024,-1402.6579209847334
1765.4776415322904,1092.068478713456,-1390.214958924863
1761.3677128792042,1085.8626929368402,-1391.7840202592042
1727.6057450447947,988.9571229398744,-1435.754337787827
1677.2667519533443,1042.2748394120106,-1355.7316850505476
1674.9188610069034,955.8879926482552,-1431.7959253246026
1780.3395787003753,1040.3358626661472,-1385.02637831168
1697.438392308915,974.780029296875,-1476.58348554703
1671.9953858579472,1016.0017985411907,-1483.142079647985
1517.9435359682088,1044.0596075032145,-1343.0264229317818
1709.3749870522315,1031.7971425806024,-1402.6579209847334
1765.4776415322904,1092.068478713456,-1390.214958924863
1761.3677128792042,1085.8626929368402,-1391.7840202592042
1727.6057450447947,988.9571229398744,-1435.754337787827
1677.2667519533443,1042.2748394120106,-1355.7316850505476
1674.9188610069034,955.8879926482552,-1431.7959253246026
1780.3395787003753,1040.3358626661472,-1385.02637831168
1697.438392308915,974.780029296875,-1476.58348554703
1671.9953858579472,1016.0017985411907,-1483.142079647985
1517.9435359682088,1044.0596075032145,-1343.0264229317818
